,dataset,curve,error,error_type
28,0,0,0.29000000000000004,overshoot
29,20,5,0.29000000000000004,overshoot
30,40,10,0.29000000000000004,overshoot
31,60,15,0.29000000000000004,overshoot
32,100,0,0.29000000000000004,overshoot
33,120,5,0.29000000000000004,overshoot
34,140,10,0.29000000000000004,overshoot
35,160,15,0.29000000000000004,overshoot
36,200,0,0.29000000000000004,overshoot
37,220,5,0.29000000000000004,overshoot
38,240,10,0.29000000000000004,overshoot
39,260,15,0.29000000000000004,overshoot
40,300,0,0.29000000000000004,overshoot
41,320,5,0.29000000000000004,overshoot
42,340,10,0.29000000000000004,overshoot
43,360,15,0.29000000000000004,overshoot
44,400,0,0.29000000000000004,overshoot
45,420,5,0.29000000000000004,overshoot
46,440,10,0.29000000000000004,overshoot
47,460,15,0.29000000000000004,overshoot
48,500,0,0.29000000000000004,overshoot
49,520,5,0.29000000000000004,overshoot
50,540,10,0.29000000000000004,overshoot
51,560,15,0.29000000000000004,overshoot
52,600,0,0.29000000000000004,overshoot
53,620,5,0.29000000000000004,overshoot
54,640,10,0.29000000000000004,overshoot
55,660,15,0.29000000000000004,overshoot
56,700,0,0.29000000000000004,overshoot
